city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),beds,star,number_of_ratings
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Wspolna Standard Apartment,326,326,Aug 19 - 24,"1,630",2 beds,4.75,4
"Warsaw, Poland",2023-08-19,Apartment in Praga Polnoc,Mieszkanie w Warszawie,300,300,Aug 27 - Sep 2,"1,796",2 beds,5.0,17
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Luxury apartment with terrace in the center of Warsaw,318,567,Aug 19 - 26,"2,222",1 bed,4.89,9
"Warsaw, Poland",2023-08-19,Condo in Ursynow,Spacious flat next to Metro Kabaty.,235,274,Aug 27 - Sep 1,"1,174",2 beds,4.56,27
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Cosy room with AWESOME view #3,178,178,Aug 23 - 28,886,2 beds,4.66,35
"Warsaw, Poland",2023-08-19,Place to stay in Wola,New metro line II cozy premium room,160,160,Aug 31 - Sep 5,796,1 bed,4.89,35
"Warsaw, Poland",2023-08-19,Apartment in Zoliborz,Comfortable studio - Fr. Popieluszki Street,222,222,Aug 27 - Sep 3,"1,549",1 bed,4.93,29
"Warsaw, Poland",2023-08-19,Apartment in Praga Polnoc,Praga North - an artistic district; subway,327,397,Aug 19 - 24,"1,634",3 beds,4.98,63
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,RED Centrum WiFi 500 Mb/s 2xMetro Netflix AmazonTV,402,628,Aug 24 - 29,"2,006",2 beds,4.63,179
"Warsaw, Poland",2023-08-19,Room in Bielany,A room by the subway and next to the forest,141,141,Aug 20 - 25,704,2 beds,New,New
"Warsaw, Poland",2023-08-19,Apartment in Praga Polnoc,Cozy studio in Warsaw / Studio in Warsaw,206,206,Sep 4 - 11,"1,438",1 bed,4.71,34
"Warsaw, Poland",2023-08-19,Apartment in Bialoleka,Warsaw North Deluxe IV,386,386,Aug 19 - 24,"1,928",3 beds,4.89,9
"Wroclaw, Poland",2023-08-19,Apartment in Stare Miasto,Hercena Polarnaja | boutique apartment,257,329,Aug 19 - 24,"1,285",1 double bed,4.91,138
"Wroclaw, Poland",2023-08-19,Apartment in Krzyki,Sunset Apartament Jacuzzi AirCon,691,691,Aug 21 - 26,"3,455",2 beds,4.94,31
"Wroclaw, Poland",2023-08-19,Apartment in Stare Miasto,Tom Sawyer's Old Town Apartment,276,340,Sep 4 - 9,"1,380",1 bed,New,New
"Wroclaw, Poland",2023-08-19,Room in Stare Miasto,P4 Between old town and business heart of Wroclaw,106,130,Aug 20 - 25,530,1 bed,4.89,352
"Wroclaw, Poland",2023-08-19,Apartment in Stare Miasto,Loft 450 | apartment with balcony,264,353,Aug 20 - 25,"1,320",1 double bed,4.96,122
"Wroclaw, Poland",2023-08-19,Apartment in Stare Miasto,Rynek Market Square Sunshine Apartment,272,272,Oct 1 - 6,"1,356",2 beds,4.82,556
